"WT","QP","2010","TONNE","3",83365.312
"WT","QP","2011","TONNE","3",79692.784
"MA","QP","2012","TONNE","3",286258.61
"OCG","YLD","2023","TONNE_HA","0",3.948
"RI","IM","2016","TONNE","3",1116.542
"RI","IM","2017","TONNE","3",1232.135
"RI","QC","2025","TONNE","3",4985.058
"SB","IM","2029","TONNE","3",947.243
"SB","FE","2016","TONNE","3",0
"OOS","CR","2025","TONNE","3",13012.747
"OOS","CR","2026","TONNE","3",13177.683
"PM","QC","2017","TONNE","3",43060.838
"PM","QC","2018","TONNE","3",43017.13
"PM","EX","2024","TONNE","3",16987.361
"PM","EX","2025","TONNE","3",16990.309
"VL","QP","2014","TONNE","3",15386.833
"VL","QP","2015","TONNE","3",15935.46
"VL","IM","2014","TONNE","3",4180.274
"VL","IM","2015","TONNE","3",4472.382
"VL","IM","2016","TONNE","3",4684.73
"FHC","EX","2026","TONNE","3",0
"FHC","EX","2027","TONNE","3",0
"FHC","EX","2028","TONNE","3",0
"FHC","EX","2029","TONNE","3",0
"FHA","EX","2012","TONNE","3",0
"FM","QC","2022","TONNE","3",253.831
"FL","EX","2025","TONNE","3",93.751
"FL","PC","2015","KG_HAB","0",0
"CT","IM","2023","TONNE","3",0.206
"CT","YLD","2014","TONNE_HA","0",0.939
"PS","PC","2029","KG_HAB","0",6.252
